history	object	algorithm	steps	time	violation
dup-removes.log	atomic-stack	Saturate	6	0.0026s	true
dup-removes.log	atomic-stack	Saturate+R	6	0.0032s	true
dup-removes.log	atomic-stack	Counting(0)	6	0.0753s	true
dup-removes.log	atomic-stack	Counting(0)+R	6	0.0622s	true
dup-removes.log	atomic-stack	Counting(1)	6	0.0675s	true
dup-removes.log	atomic-stack	Counting(1)+R	6	0.0571s	true
dup-removes.log	atomic-stack	Counting(2)	6	0.0592s	true
dup-removes.log	atomic-stack	Counting(2)+R	6	0.0627s	true
dup-removes.log	atomic-stack	Counting(3)	6	0.0588s	true
dup-removes.log	atomic-stack	Counting(3)+R	6	0.0603s	true
dup-removes.log	atomic-stack	Counting(4)	6	0.0656s	true
dup-removes.log	atomic-stack	Counting(4)+R	6	0.0612s	true
dup-removes.log	atomic-stack	Symbolic	6	0.0122s	true
dup-removes.log	atomic-stack	Symbolic+R	6	0.0125s	true
dup-removes.log	atomic-stack	Symbolic+C	6	0.0125s	true
dup-removes.log	atomic-stack	Symbolic+I	6	0.0083s	true
dup-removes.log	atomic-stack	Symbolic+I+R	6	0.0096s	true
dup-removes.log	atomic-stack	Enumerate	6	0.0717s	true
dup-removes.log	atomic-stack	Enumerate+C	6	0.0567s	true
dup-removes.log	atomic-stack	Enumerate+R	6	0.0654s	true
fifo-violation-1.log	atomic-queue	Saturate	6	0.0027s	true
fifo-violation-1.log	atomic-queue	Saturate+R	6	0.0039s	true
fifo-violation-1.log	atomic-queue	Counting(0)	8	0.1077s	false
fifo-violation-1.log	atomic-queue	Counting(0)+R	8	0.0933s	false
fifo-violation-1.log	atomic-queue	Counting(1)	8	0.1046s	false
fifo-violation-1.log	atomic-queue	Counting(1)+R	8	0.0862s	false
fifo-violation-1.log	atomic-queue	Counting(2)	6	0.0567s	true
fifo-violation-1.log	atomic-queue	Counting(2)+R	6	0.0624s	true
fifo-violation-1.log	atomic-queue	Counting(3)	6	0.0638s	true
fifo-violation-1.log	atomic-queue	Counting(3)+R	6	0.0635s	true
fifo-violation-1.log	atomic-queue	Counting(4)	6	0.0656s	true
fifo-violation-1.log	atomic-queue	Counting(4)+R	6	0.0669s	true
fifo-violation-1.log	atomic-queue	Symbolic	6	0.0113s	true
fifo-violation-1.log	atomic-queue	Symbolic+R	6	0.0113s	true
fifo-violation-1.log	atomic-queue	Symbolic+C	6	0.014s	true
fifo-violation-1.log	atomic-queue	Symbolic+I	6	0.009s	true
fifo-violation-1.log	atomic-queue	Symbolic+I+R	6	0.0091s	true
fifo-violation-1.log	atomic-queue	Enumerate	6	0.0566s	true
fifo-violation-1.log	atomic-queue	Enumerate+C	6	0.0644s	true
fifo-violation-1.log	atomic-queue	Enumerate+R	6	0.0563s	true
figure11.log	atomic-stack	Saturate	13	0.0098s	true
figure11.log	atomic-stack	Saturate+R	13	0.0095s	true
figure11.log	atomic-stack	Counting(0)	14	0.4746s	false
figure11.log	atomic-stack	Counting(0)+R	14	0.2874s	false
figure11.log	atomic-stack	Counting(1)	14	0.4433s	false
