history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-msq.0.log	atomic-queue	Enumerate	false	false	true	false	33	15	0	18	9.606060606060606	5.08637514554443	1	4	3.757575757575758	0.6628679652796166	0	15	8.696969696969697	4.260904015617229	12828	5.01011
ScalObject-msq.0.log	atomic-queue	Bound(4)	false	false	true	false	33	15	0	18	9.606060606060606	5.08637514554443	1	4	3.757575757575758	0.6628679652796166	0	15	8.696969696969697	4.260904015617229	13316	6.203117
ScalObject-msq.0.log	atomic-queue	Bound(4)	true	false	true	false	33	15	0	18	9.606060606060606	5.08637514554443	1	4	3.757575757575758	0.6628679652796166	0	15	8.696969696969697	4.260904015617229	13356	6.33408
ScalObject-msq.0.log	atomic-queue	Symbolic	false	false	true	false	39	18	0	21	11.179487179487179	5.995049689762885	1	5	3.8974358974358974	0.7179969137476481	0	16	9.717948717948717	4.610906509506152	15796	5.687208
ScalObject-msq.0.log	atomic-queue	Symbolic	true	false	true	false	39	18	0	21	11.179487179487179	5.995049689762885	1	5	3.8974358974358974	0.7179969137476481	0	16	9.717948717948717	4.610906509506152	15964	5.692735
ScalObject-msq.0.log	atomic-queue	Saturate	false	false	true	false	371	183	0	187	93.81671159029649	53.47840019611203	1	5	3.137466307277628	0.9753574789273785	0	107	54.63611859838275	28.645733421792208	12196	5.005848
ScalObject-msq.0.log	atomic-queue	Saturate	true	false	true	false	3130	1564	0	47	16.16517571884984	8.714710678837086	1	5	3.0520766773162937	0.9245266902701536	0	37	13.334185303514378	7.57631762412442	11704	5.006683
ScalObject-msq.1.log	atomic-queue	Enumerate	false	false	true	false	17	7	0	10	5.411764705882353	3.2607288972216737	1	5	3.411764705882353	1.5834623270468011	0	9	5.117647058823529	2.93433026730923	13236	5.010239
ScalObject-msq.1.log	atomic-queue	Bound(4)	false	false	true	false	31	14	0	17	8.96774193548387	4.915851034953099	1	5	3.4838709677419355	1.3132902127084087	0	14	7.612903225806452	3.774276260466711	13348	5.671106
ScalObject-msq.1.log	atomic-queue	Bound(4)	true	false	true	false	59	28	0	16	7.915254237288136	3.8204898385760395	1	6	3.9661016949152543	1.4259431445709192	0	14	7.067796610169491	3.4132824063510405	12508	5.918193
ScalObject-msq.1.log	atomic-queue	Symbolic	false	false	true	false	34	16	0	18	9.735294117647058	5.3161208432431595	1	5	3.5	1.2613124477737825	0	14	8.117647058823529	3.96014007926681	15924	5.34611
ScalObject-msq.1.log	atomic-queue	Symbolic	true	false	true	false	74	36	0	16	8.64864864864865	3.76149355512835	1	6	3.8783783783783785	1.34421849478345	0	14	7.702702702702703	3.325821475326962	15992	5.288491
ScalObject-msq.1.log	atomic-queue	Saturate	false	false	true	false	334	165	0	168	84.82335329341318	48.25802078518178	1	6	3.6497005988023954	1.0738706199016383	0	98	49.73652694610779	27.351939084559582	11708	5.008207
ScalObject-msq.1.log	atomic-queue	Saturate	true	false	true	false	1012	504	0	48	22.872529644268774	10.539106034575333	1	6	3.5780632411067192	1.0117181886899038	0	47	21.66600790513834	10.540727412925877	11712	5.010219
ScalObject-msq.2.log	atomic-queue	Enumerate	false	false	true	false	18	7	0	11	5.555555555555555	3.551672716477029	1	6	3.2222222222222223	1.7339365466222858	0	10	4.888888888888889	3.0657287568305054	12928	5.0119
ScalObject-msq.2.log	atomic-queue	Bound(4)	false	false	true	false	32	15	0	17	9.15625	5.199934087671596	1	6	3.34375	1.6773515029701225	0	13	7.125	3.773848895209103	13088	5.086876
ScalObject-msq.2.log	atomic-queue	Bound(4)	true	false	true	false	82	39	0	17	7.439024390243903	3.928677599194177	1	6	3.4878048780487805	1.5254540100462013	0	14	6.7439024390243905	3.4598614673250134	13484	5.110106
ScalObject-msq.2.log	atomic-queue	Symbolic	false	false	true	false	34	17	0	17	9.617647058823529	5.376800365894948	1	6	3.235294117647059	1.6888013236829962	0	13	7.470588235294118	3.917600487911918	15436	5.832995
ScalObject-msq.2.log	atomic-queue	Symbolic	true	false	true	false	86	42	0	18	7.9186046511627906	4.414455175974041	1	6	3.5232558139534884	1.5086163835159874	0	14	7.069767441860465	3.690339368020615	16484	5.700126
ScalObject-msq.2.log	atomic-queue	Saturate	false	false	true	false	388	191	0	196	98.23453608247422	56.0705917478793	1	6	3.4742268041237114	0.9761262203421033	0	116	58.45103092783505	31.584842044823603	12824	5.011199
ScalObject-msq.2.log	atomic-queue	Saturate	true	false	true	false	1284	640	0	132	26.569314641744548	28.133974532414662	1	6	3.2390965732087227	1.1407554319801725	0	73	18.83411214953271	16.25895438612834	12188	5.011952
ScalObject-msq.3.log	atomic-queue	Enumerate	false	false	true	false	50	25	0	25	12.5	7.301802964378883	1	1	1.0	0.0	0	18	9.98	5.246923296717102	13672	5.584374
ScalObject-msq.3.log	atomic-queue	Bound(4)	false	false	true	false	32	16	0	16	8.0	4.71100290671708	1	1	1.0	0.0	0	12	6.8125	3.5870510846475225	13244	5.008922
ScalObject-msq.3.log	atomic-queue	Bound(4)	true	false	true	false	242	121	0	12	3.62396694214876	2.6487145490573605	1	1	1.0	0.0	0	12	3.62396694214876	2.6487145490573605	12612	5.006649
ScalObject-msq.3.log	atomic-queue	Symbolic	false	false	true	false	50	25	0	25	12.5	7.301802964378883	1	1	1.0	0.0	0	18	9.98	5.246923296717102	15840	5.60183
ScalObject-msq.3.log	atomic-queue	Symbolic	true	false	true	false	772	386	0	12	4.603626943005182	2.6397907604263096	1	1	1.0	0.0	0	12	4.603626943005182	2.6397907604263096	15440	5.015397
ScalObject-msq.3.log	atomic-queue	Saturate	false	false	true	false	372	185	0	186	93.0	53.76744373122862	1	1	1.0	0.0	0	101	51.11827956989247	28.676314018914415	12456	5.006959
ScalObject-msq.3.log	atomic-queue	Saturate	true	false	true	false	1289	643	0	139	19.43366951124903	32.697828136785205	1	6	1.543056633048875	1.1324752876198771	0	87	13.853374709076803	20.246449113946255	12120	5.009237
ScalObject-msq.4.log	atomic-queue	Enumerate	false	false	true	false	50	25	0	25	12.5	7.301802964378883	1	1	1.0	0.0	0	18	9.66	5.442125935135786	12968	5.008271
ScalObject-msq.4.log	atomic-queue	Bound(4)	false	false	true	false	34	17	0	17	8.5	4.998484618846844	1	1	1.0	0.0	0	14	6.794117647058823	4.088264147938035	13472	6.006159
ScalObject-msq.4.log	atomic-queue	Bound(4)	true	false	true	false	126	63	0	14	5.976190476190476	3.208649025903049	1	1	1.0	0.0	0	14	5.976190476190476	3.208649025903049	12752	5.410085
ScalObject-msq.4.log	atomic-queue	Symbolic	false	false	true	false	50	25	0	25	12.5	7.301802964378883	1	1	1.0	0.0	0	18	9.66	5.442125935135786	15528	5.01197
ScalObject-msq.4.log	atomic-queue	Symbolic	true	false	true	false	170	85	0	19	8.5	5.236704777154897	1	1	1.0	0.0	0	19	8.5	5.236704777154897	16520	5.181707
