history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-bkq.00.log	atomic-queue	Enumerate	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	12688	0.392895
ScalObject-bkq.00.log	atomic-queue	Bound(4)	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	13312	0.72584
ScalObject-bkq.00.log	atomic-queue	Bound(4)	true	false	false	false	20	10	0	3	1.5	0.9459053029269173	1	1	1.0	0.0	0	3	1.5	0.9459053029269173	13516	0.185212
ScalObject-bkq.00.log	atomic-queue	Bound(2)	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	13100	0.969275
ScalObject-bkq.00.log	atomic-queue	Bound(2)	true	false	false	false	20	10	0	3	1.5	0.9459053029269173	1	1	1.0	0.0	0	3	1.5	0.9459053029269173	12496	0.183912
ScalObject-bkq.00.log	atomic-queue	Bound(0)	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	12660	1.146679
ScalObject-bkq.00.log	atomic-queue	Bound(0)	true	false	false	false	20	10	0	3	1.5	0.9459053029269173	1	1	1.0	0.0	0	3	1.5	0.9459053029269173	12856	0.212142
ScalObject-bkq.00.log	atomic-queue	Symbolic	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	15612	0.198596
ScalObject-bkq.00.log	atomic-queue	Symbolic	true	false	false	false	20	10	0	3	1.5	0.9459053029269173	1	1	1.0	0.0	0	3	1.5	0.9459053029269173	15788	0.047313
ScalObject-bkq.00.log	atomic-queue	Saturate	false	false	false	false	20	10	0	10	5.0	2.991215208080594	1	1	1.0	0.0	0	7	3.7	1.949358868961793	12428	0.004868
ScalObject-bkq.00.log	atomic-queue	Saturate	true	false	false	false	20	10	0	3	1.5	0.9459053029269173	1	1	1.0	0.0	0	3	1.5	0.9459053029269173	12004	0.005215
ScalObject-bkq.01.log	atomic-queue	Enumerate	false	false	true	false	18	9	0	9	5.333333333333333	3.0486255340823387	1	4	2.6666666666666665	1.0846522890932808	0	7	4.055555555555555	2.042841798666526	12644	10.007003
ScalObject-bkq.01.log	atomic-queue	Bound(4)	false	false	false	false	20	10	0	10	5.75	3.160196529531535	1	4	2.5	1.1470786693528088	0	7	4.2	1.98944583661936	13196	1.133728
ScalObject-bkq.01.log	atomic-queue	Bound(4)	true	false	false	false	20	10	0	9	4.65	3.0482954684803594	1	4	2.5	1.1470786693528088	0	7	3.55	2.1144863753590246	12748	0.72241
ScalObject-bkq.01.log	atomic-queue	Bound(2)	false	false	false	false	20	10	0	10	5.75	3.160196529531535	1	4	2.5	1.1470786693528088	0	7	4.2	1.98944583661936	12960	1.305358
ScalObject-bkq.01.log	atomic-queue	Bound(2)	true	false	false	false	20	10	0	9	4.65	3.0482954684803594	1	4	2.5	1.1470786693528088	0	7	3.55	2.1144863753590246	13392	0.792777
ScalObject-bkq.01.log	atomic-queue	Bound(0)	false	false	false	false	20	10	0	10	5.75	3.160196529531535	1	4	2.5	1.1470786693528088	0	7	4.2	1.98944583661936	12704	1.519716
ScalObject-bkq.01.log	atomic-queue	Bound(0)	true	false	false	false	20	10	0	9	4.65	3.0482954684803594	1	4	2.5	1.1470786693528088	0	7	3.55	2.1144863753590246	13200	1.14903
ScalObject-bkq.01.log	atomic-queue	Symbolic	false	false	false	false	20	10	0	10	5.75	3.160196529531535	1	4	2.5	1.1470786693528088	0	7	4.2	1.98944583661936	16320	0.761252
ScalObject-bkq.01.log	atomic-queue	Symbolic	true	false	false	false	20	10	0	9	4.65	3.0482954684803594	1	4	2.5	1.1470786693528088	0	7	3.55	2.1144863753590246	15928	0.477092
ScalObject-bkq.01.log	atomic-queue	Saturate	false	false	false	false	20	10	0	10	5.75	3.160196529531535	1	4	2.5	1.1470786693528088	0	7	4.2	1.98944583661936	12124	0.006008
ScalObject-bkq.01.log	atomic-queue	Saturate	true	false	false	false	20	10	0	9	4.65	3.0482954684803594	1	4	2.5	1.1470786693528088	0	7	3.55	2.1144863753590246	11680	0.006766
ScalObject-bkq.02.log	atomic-queue	Enumerate	false	false	false	false	20	10	0	10	5.3	3.2622239750142685	1	3	1.6	0.6805570473787206	0	8	4.5	2.460209661583209	13012	0.972924
ScalObject-bkq.02.log	atomic-queue	Bound(4)	false	false	false	false	20	10	0	10	5.3	3.2622239750142685	1	3	1.6	0.6805570473787206	0	8	4.5	2.460209661583209	12868	0.856705
ScalObject-bkq.02.log	atomic-queue	Bound(4)	true	false	false	false	20	10	0	7	2.7	2.273416163537063	1	3	1.6	0.6805570473787206	0	5	2.0	1.5559732104309982	12876	0.350192
ScalObject-bkq.02.log	atomic-queue	Bound(2)	false	false	false	false	20	10	0	10	5.3	3.2622239750142685	1	3	1.6	0.6805570473787206	0	8	4.5	2.460209661583209	12676	1.167694
