# data/report-Dec-01-2014-17h41.txt
Generating reports for examples/generated/small/**/*.log
------------------------------------------------------------------------------
               examples/generated/small/**/*.log (timeout 10s)                
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.00.log   | Enumerate+C   | 20    | 1.0±0.0     | 0.3689s    | -
ScalObject-bkq.00.log   | Counting(4)   | 20    | 1.0±0.0     | 0.5904s    | -
ScalObject-bkq.00.log   | Counting(4)+R | 20    | 1.0±0.0     | 0.1923s    | -
ScalObject-bkq.00.log   | Counting(2)   | 20    | 1.0±0.0     | 0.8479s    | -
ScalObject-bkq.00.log   | Counting(2)+R | 20    | 1.0±0.0     | 0.1919s    | -
ScalObject-bkq.00.log   | Counting(0)   | 20    | 1.0±0.0     | 1.3489s    | -
ScalObject-bkq.00.log   | Counting(0)+R | 20    | 1.0±0.0     | 0.2098s    | -
ScalObject-bkq.00.log   | Symbolic      | 20    | 1.0±0.0     | 0.184s     | -
ScalObject-bkq.00.log   | Symbolic+R    | 20    | 1.0±0.0     | 0.0278s    | -
ScalObject-bkq.00.log   | Saturate      | 20    | 1.0±0.0     | 0.0082s    | -
ScalObject-bkq.00.log   | Saturate+R    | 20    | 1.0±0.0     | 0.008s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.01.log   | Enumerate+C   | 18*   | 2.7±1.1     | 10.0169s*  | -
ScalObject-bkq.01.log   | Counting(4)   | 20    | 2.5±1.1     | 1.044s     | -
ScalObject-bkq.01.log   | Counting(4)+R | 20    | 2.5±1.1     | 0.6967s    | -
ScalObject-bkq.01.log   | Counting(2)   | 20    | 2.5±1.1     | 1.2416s    | -
ScalObject-bkq.01.log   | Counting(2)+R | 20    | 2.5±1.1     | 0.7413s    | -
ScalObject-bkq.01.log   | Counting(0)   | 20    | 2.5±1.1     | 1.5862s    | -
ScalObject-bkq.01.log   | Counting(0)+R | 20    | 2.5±1.1     | 1.0289s    | -
ScalObject-bkq.01.log   | Symbolic      | 20    | 2.5±1.1     | 0.7489s    | -
ScalObject-bkq.01.log   | Symbolic+R    | 20    | 2.5±1.1     | 0.4302s    | -
ScalObject-bkq.01.log   | Saturate      | 20    | 2.5±1.1     | 0.0095s    | -
ScalObject-bkq.01.log   | Saturate+R    | 20    | 2.5±1.1     | 0.0101s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.02.log   | Enumerate+C   | 20    | 1.6±0.7     | 0.8993s    | -
ScalObject-bkq.02.log   | Counting(4)   | 20    | 1.6±0.7     | 0.7621s    | -
ScalObject-bkq.02.log   | Counting(4)+R | 20    | 1.6±0.7     | 0.3386s    | -
ScalObject-bkq.02.log   | Counting(2)   | 20    | 1.6±0.7     | 0.9073s    | -
ScalObject-bkq.02.log   | Counting(2)+R | 20    | 1.6±0.7     | 0.3135s    | -
ScalObject-bkq.02.log   | Counting(0)   | 20    | 1.6±0.7     | 1.5151s    | -
ScalObject-bkq.02.log   | Counting(0)+R | 20    | 1.6±0.7     | 0.325s     | -
ScalObject-bkq.02.log   | Symbolic      | 20    | 1.6±0.7     | 0.374s     | -
ScalObject-bkq.02.log   | Symbolic+R    | 20    | 1.6±0.7     | 0.1065s    | -
ScalObject-bkq.02.log   | Saturate      | 20    | 1.6±0.7     | 0.009s     | -
ScalObject-bkq.02.log   | Saturate+R    | 20    | 1.6±0.7     | 0.0082s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.03.log   | Enumerate+C   | 20    | 1.3±0.5     | 0.5099s    | -
ScalObject-bkq.03.log   | Counting(4)   | 20    | 1.3±0.5     | 0.782s     | -
ScalObject-bkq.03.log   | Counting(4)+R | 20    | 1.3±0.5     | 0.2304s    | -
ScalObject-bkq.03.log   | Counting(2)   | 20    | 1.3±0.5     | 0.9375s    | -
ScalObject-bkq.03.log   | Counting(2)+R | 20    | 1.3±0.5     | 0.2224s    | -
ScalObject-bkq.03.log   | Counting(0)   | 20    | 1.3±0.5     | 1.7458s    | -
ScalObject-bkq.03.log   | Counting(0)+R | 20    | 1.3±0.5     | 0.241s     | -
ScalObject-bkq.03.log   | Symbolic      | 20    | 1.3±0.5     | 0.3802s    | -
ScalObject-bkq.03.log   | Symbolic+R    | 20    | 1.3±0.5     | 0.056s     | -
ScalObject-bkq.03.log   | Saturate      | 20    | 1.3±0.5     | 0.0076s    | -
ScalObject-bkq.03.log   | Saturate+R    | 20    | 1.3±0.5     | 0.0082s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.04.log   | Enumerate+C   | 20    | 1.3±0.5     | 0.3538s    | -
ScalObject-bkq.04.log   | Counting(4)   | 20    | 1.3±0.5     | 0.6264s    | -
ScalObject-bkq.04.log   | Counting(4)+R | 20    | 1.3±0.5     | 0.2193s    | -
ScalObject-bkq.04.log   | Counting(2)   | 20    | 1.3±0.5     | 0.9858s    | -
ScalObject-bkq.04.log   | Counting(2)+R | 20    | 1.3±0.5     | 0.2601s    | -
ScalObject-bkq.04.log   | Counting(0)   | 20    | 1.3±0.5     | 1.042s     | -
ScalObject-bkq.04.log   | Counting(0)+R | 20    | 1.3±0.5     | 0.2665s    | -
ScalObject-bkq.04.log   | Symbolic      | 20    | 1.3±0.5     | 0.2676s    | -
ScalObject-bkq.04.log   | Symbolic+R    | 20    | 1.3±0.5     | 0.0584s    | -
ScalObject-bkq.04.log   | Saturate      | 20    | 1.3±0.5     | 0.0099s    | -
ScalObject-bkq.04.log   | Saturate+R    | 20    | 1.3±0.5     | 0.0083s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.05.log   | Enumerate+C   | 15    | 1.4±0.5     | 0.3802s    | √
ScalObject-bkq.05.log   | Counting(4)   | 15    | 1.4±0.5     | 0.2142s    | √
ScalObject-bkq.05.log   | Counting(4)+R | 15    | 1.4±0.5     | 0.1584s    | √
ScalObject-bkq.05.log   | Counting(2)   | 20    | 1.5±0.5     | 1.0622s    | -
ScalObject-bkq.05.log   | Counting(2)+R | 20    | 1.5±0.5     | 0.4727s    | -
ScalObject-bkq.05.log   | Counting(0)   | 20    | 1.5±0.5     | 1.2742s    | -
ScalObject-bkq.05.log   | Counting(0)+R | 20    | 1.5±0.5     | 0.426s     | -
ScalObject-bkq.05.log   | Symbolic      | 15    | 1.4±0.5     | 0.0822s    | √
ScalObject-bkq.05.log   | Symbolic+R    | 15    | 1.4±0.5     | 0.0409s    | √
ScalObject-bkq.05.log   | Saturate      | 19    | 1.5±0.5     | 0.009s     | √
ScalObject-bkq.05.log   | Saturate+R    | 19    | 1.5±0.5     | 0.0095s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.06.log   | Enumerate+C   | 18    | 1.0±0.0     | 0.2734s    | √
ScalObject-bkq.06.log   | Counting(4)   | 18    | 1.0±0.0     | 0.3123s    | √
ScalObject-bkq.06.log   | Counting(4)+R | 18    | 1.0±0.0     | 0.1652s    | √
ScalObject-bkq.06.log   | Counting(2)   | 18    | 1.0±0.0     | 0.4062s    | √
ScalObject-bkq.06.log   | Counting(2)+R | 18    | 1.0±0.0     | 0.1584s    | √
ScalObject-bkq.06.log   | Counting(0)   | 20    | 1.0±0.0     | 1.1049s    | -
ScalObject-bkq.06.log   | Counting(0)+R | 20    | 1.0±0.0     | 0.1998s    | -
ScalObject-bkq.06.log   | Symbolic      | 18    | 1.0±0.0     | 0.1084s    | √
ScalObject-bkq.06.log   | Symbolic+R    | 18    | 1.0±0.0     | 0.0198s    | √
ScalObject-bkq.06.log   | Saturate      | 18    | 1.0±0.0     | 0.007s     | √
ScalObject-bkq.06.log   | Saturate+R    | 18    | 1.0±0.0     | 0.007s     | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.07.log   | Enumerate+C   | 18*   | 1.8±1.0     | 10.002s*   | -
ScalObject-bkq.07.log   | Counting(4)   | 18    | 1.8±1.0     | 0.3267s    | √
ScalObject-bkq.07.log   | Counting(4)+R | 18    | 1.8±1.0     | 0.2402s    | √
ScalObject-bkq.07.log   | Counting(2)   | 20    | 1.8±1.0     | 1.1397s    | -
ScalObject-bkq.07.log   | Counting(2)+R | 20    | 1.8±1.0     | 0.6741s    | -
ScalObject-bkq.07.log   | Counting(0)   | 20    | 1.8±1.0     | 1.3592s    | -
ScalObject-bkq.07.log   | Counting(0)+R | 20    | 1.8±1.0     | 0.962s     | -
ScalObject-bkq.07.log   | Symbolic      | 18    | 1.8±1.0     | 0.1984s    | √
ScalObject-bkq.07.log   | Symbolic+R    | 18    | 1.8±1.0     | 0.1433s    | √
ScalObject-bkq.07.log   | Saturate      | 20    | 1.8±1.0     | 0.0175s    | √
ScalObject-bkq.07.log   | Saturate+R    | 20    | 1.8±1.0     | 0.0147s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.08.log   | Enumerate+C   | 20    | 1.1±0.3     | 0.3727s    | √
ScalObject-bkq.08.log   | Counting(4)   | 20    | 1.1±0.3     | 0.4087s    | √
ScalObject-bkq.08.log   | Counting(4)+R | 20    | 1.1±0.3     | 0.201s     | √
ScalObject-bkq.08.log   | Counting(2)   | 20    | 1.1±0.3     | 0.4253s    | √
ScalObject-bkq.08.log   | Counting(2)+R | 20    | 1.1±0.3     | 0.1855s    | √
ScalObject-bkq.08.log   | Counting(0)   | 20    | 1.1±0.3     | 0.735s     | -
ScalObject-bkq.08.log   | Counting(0)+R | 20    | 1.1±0.3     | 0.2007s    | -
ScalObject-bkq.08.log   | Symbolic      | 20    | 1.1±0.3     | 0.1347s    | √
ScalObject-bkq.08.log   | Symbolic+R    | 20    | 1.1±0.3     | 0.0257s    | √
ScalObject-bkq.08.log   | Saturate      | 20    | 1.1±0.3     | 0.0073s    | √
ScalObject-bkq.08.log   | Saturate+R    | 20    | 1.1±0.3     | 0.0081s    | √
------------------------+---------------+-------+-------------+------------+--
