Generating reports for examples/generated/ScalObject-bkq/*.log, examples/generated/ScalObject-msq/*.log, examples/simple/*.log, examples/generated/my-sync-stack.*.log, examples/generated/my-unsafe-stack/*.log, examples/generated/bkq-very-concurrent/*.log, examples/generated/msq-very-concurrent/*.log, examples/generated/bkq-almost-sequential/*.log, examples/generated/msq-almost-sequential/*.log
Algorithm timeout for each example set to 5s.
---------------------------------------------------------------------
               examples/generated/ScalObject-bkq/*.log               
---------------------------------------------------------------------
example              | flags               | step | viol | time      
---------------------+---------------------+------+------+-----------
ScalObject-bkq.0.log | -a saturate         | 69   | 69   | 0.1166s   
ScalObject-bkq.0.log | -a saturate -r      | 69   | 69   | 0.0664s   
ScalObject-bkq.0.log | -a counting -b 0    | 32*  | -    | 5.8141s*  
ScalObject-bkq.0.log | -a counting -b 0 -r | 61*  | -    | 5.1443s*  
ScalObject-bkq.0.log | -a counting -b 1    | 32*  | -    | 5.8034s*  
ScalObject-bkq.0.log | -a counting -b 1 -r | 61*  | -    | 5.1968s*  
ScalObject-bkq.0.log | -a counting -b 2    | 32*  | -    | 5.7279s*  
ScalObject-bkq.0.log | -a counting -b 2 -r | 61*  | -    | 5.2168s*  
ScalObject-bkq.0.log | -a counting -b 3    | 32*  | -    | 5.7217s*  
ScalObject-bkq.0.log | -a counting -b 3 -r | 61*  | -    | 5.1891s*  
ScalObject-bkq.0.log | -a counting -b 4    | 32*  | -    | 5.782s*   
ScalObject-bkq.0.log | -a counting -b 4 -r | 61*  | -    | 5.2042s*  
ScalObject-bkq.0.log | -a symbolic         | 33*  | -    | 6.2409s*  
ScalObject-bkq.0.log | -a symbolic -c      | 39*  | -    | 7.7444s*  
ScalObject-bkq.0.log | -a symbolic -i      | 34*  | -    | 5.977s*   
ScalObject-bkq.0.log | -a symbolic -r      | 62   | 62   | 3.6372s   
ScalObject-bkq.0.log | -a symbolic -i -r   | 62   | 62   | 3.0359s   
ScalObject-bkq.0.log | -a enumerate        | 17*  | -    | 5.0058s*  
ScalObject-bkq.0.log | -a enumerate -c     | 27*  | -    | 5.0036s*  
ScalObject-bkq.0.log | -a enumerate -r     | 25*  | -    | 5.0052s*  
---------------------+---------------------+------+------+-----------
ScalObject-bkq.1.log | -a saturate         | 115  | 115  | 0.3127s   
ScalObject-bkq.1.log | -a saturate -r      | 115  | 115  | 0.0916s   
ScalObject-bkq.1.log | -a counting -b 0    | 31*  | -    | 5.0678s*  
ScalObject-bkq.1.log | -a counting -b 0 -r | 53*  | -    | 5.1793s*  
ScalObject-bkq.1.log | -a counting -b 1    | 31*  | -    | 5.2099s*  
ScalObject-bkq.1.log | -a counting -b 1 -r | 53*  | -    | 5.1471s*  
ScalObject-bkq.1.log | -a counting -b 2    | 31*  | -    | 5.0883s*  
ScalObject-bkq.1.log | -a counting -b 2 -r | 53*  | -    | 5.1692s*  
ScalObject-bkq.1.log | -a counting -b 3    | 31*  | -    | 5.1319s*  
ScalObject-bkq.1.log | -a counting -b 3 -r | 53*  | -    | 5.1888s*  
ScalObject-bkq.1.log | -a counting -b 4    | 31*  | -    | 5.1763s*  
ScalObject-bkq.1.log | -a counting -b 4 -r | 53*  | -    | 5.082s*   
ScalObject-bkq.1.log | -a symbolic         | 33*  | -    | 5.4196s*  
ScalObject-bkq.1.log | -a symbolic -c      | 37*  | -    | 6.1094s*  
ScalObject-bkq.1.log | -a symbolic -i      | 33*  | -    | 5.2916s*  
ScalObject-bkq.1.log | -a symbolic -r      | 67*  | -    | 5.1963s*  
