# data/reports/report-Feb-26-2015-00h13.txt
Generating reports for data/histories/generated/small/**/*.log
-------------------------------------------------------------------------------
             data/histories/generated/small/**/*.log (timeout 10s)             
-------------------------------------------------------------------------------
history                 | algorithm | r | ste | che | widt | weig | time    | v
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.00.log   | Enumerate | - | 20  | 10  | 1.0  | 3.7  | 0.3929  | -
ScalObject-bkq.00.log   | Bound(4)  | - | 20  | 10  | 1.0  | 3.7  | 0.7258  | -
ScalObject-bkq.00.log   | Bound(4)  | √ | 20  | 10  | 1.0  | 1.5  | 0.1852  | -
ScalObject-bkq.00.log   | Bound(2)  | - | 20  | 10  | 1.0  | 3.7  | 0.9693  | -
ScalObject-bkq.00.log   | Bound(2)  | √ | 20  | 10  | 1.0  | 1.5  | 0.1839  | -
ScalObject-bkq.00.log   | Bound(0)  | - | 20  | 10  | 1.0  | 3.7  | 1.1467  | -
ScalObject-bkq.00.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 1.5  | 0.2121  | -
ScalObject-bkq.00.log   | Symbolic  | - | 20  | 10  | 1.0  | 3.7  | 0.1986  | -
ScalObject-bkq.00.log   | Symbolic  | √ | 20  | 10  | 1.0  | 1.5  | 0.0473  | -
ScalObject-bkq.00.log   | Saturate  | - | 20  | 10  | 1.0  | 3.7  | 0.0049  | -
ScalObject-bkq.00.log   | Saturate  | √ | 20  | 10  | 1.0  | 1.5  | 0.0052  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.01.log   | Enumerate | - | 18  | 9   | 2.7  | 4.1  | 10.007  | -
ScalObject-bkq.01.log   | Bound(4)  | - | 20  | 10  | 2.5  | 4.2  | 1.1337  | -
ScalObject-bkq.01.log   | Bound(4)  | √ | 20  | 10  | 2.5  | 3.6  | 0.7224  | -
ScalObject-bkq.01.log   | Bound(2)  | - | 20  | 10  | 2.5  | 4.2  | 1.3054  | -
ScalObject-bkq.01.log   | Bound(2)  | √ | 20  | 10  | 2.5  | 3.6  | 0.7928  | -
ScalObject-bkq.01.log   | Bound(0)  | - | 20  | 10  | 2.5  | 4.2  | 1.5197  | -
ScalObject-bkq.01.log   | Bound(0)  | √ | 20  | 10  | 2.5  | 3.6  | 1.149   | -
ScalObject-bkq.01.log   | Symbolic  | - | 20  | 10  | 2.5  | 4.2  | 0.7613  | -
ScalObject-bkq.01.log   | Symbolic  | √ | 20  | 10  | 2.5  | 3.6  | 0.4771  | -
ScalObject-bkq.01.log   | Saturate  | - | 20  | 10  | 2.5  | 4.2  | 0.006   | -
ScalObject-bkq.01.log   | Saturate  | √ | 20  | 10  | 2.5  | 3.6  | 0.0068  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.02.log   | Enumerate | - | 20  | 10  | 1.6  | 4.5  | 0.9729  | -
ScalObject-bkq.02.log   | Bound(4)  | - | 20  | 10  | 1.6  | 4.5  | 0.8567  | -
ScalObject-bkq.02.log   | Bound(4)  | √ | 20  | 10  | 1.6  | 2.0  | 0.3502  | -
ScalObject-bkq.02.log   | Bound(2)  | - | 20  | 10  | 1.6  | 4.5  | 1.1677  | -
ScalObject-bkq.02.log   | Bound(2)  | √ | 20  | 10  | 1.6  | 2.0  | 0.356   | -
ScalObject-bkq.02.log   | Bound(0)  | - | 20  | 10  | 1.6  | 4.5  | 1.529   | -
ScalObject-bkq.02.log   | Bound(0)  | √ | 20  | 10  | 1.6  | 2.0  | 0.4189  | -
ScalObject-bkq.02.log   | Symbolic  | - | 20  | 10  | 1.6  | 4.5  | 0.4565  | -
ScalObject-bkq.02.log   | Symbolic  | √ | 20  | 10  | 1.6  | 2.0  | 0.1519  | -
ScalObject-bkq.02.log   | Saturate  | - | 20  | 10  | 1.6  | 4.5  | 0.0047  | -
ScalObject-bkq.02.log   | Saturate  | √ | 20  | 10  | 1.6  | 2.0  | 0.005   | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.03.log   | Enumerate | - | 20  | 10  | 1.3  | 3.6  | 0.4847  | -
ScalObject-bkq.03.log   | Bound(4)  | - | 20  | 10  | 1.3  | 3.6  | 0.7549  | -
ScalObject-bkq.03.log   | Bound(4)  | √ | 20  | 10  | 1.3  | 1.4  | 0.2316  | -
ScalObject-bkq.03.log   | Bound(2)  | - | 20  | 10  | 1.3  | 3.6  | 0.8405  | -
ScalObject-bkq.03.log   | Bound(2)  | √ | 20  | 10  | 1.3  | 1.4  | 0.2304  | -
ScalObject-bkq.03.log   | Bound(0)  | - | 20  | 10  | 1.3  | 3.6  | 1.327   | -
ScalObject-bkq.03.log   | Bound(0)  | √ | 20  | 10  | 1.3  | 1.4  | 0.2322  | -
ScalObject-bkq.03.log   | Symbolic  | - | 20  | 10  | 1.3  | 3.6  | 0.4213  | -
ScalObject-bkq.03.log   | Symbolic  | √ | 20  | 10  | 1.3  | 1.4  | 0.0689  | -
ScalObject-bkq.03.log   | Saturate  | - | 20  | 10  | 1.3  | 3.6  | 0.0039  | -
ScalObject-bkq.03.log   | Saturate  | √ | 20  | 10  | 1.3  | 1.4  | 0.0038  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.04.log   | Enumerate | - | 20  | 10  | 1.3  | 5.0  | 0.3605  | -
ScalObject-bkq.04.log   | Bound(4)  | - | 20  | 10  | 1.3  | 5.0  | 0.6858  | -
ScalObject-bkq.04.log   | Bound(4)  | √ | 20  | 10  | 1.3  | 2.4  | 0.2273  | -
ScalObject-bkq.04.log   | Bound(2)  | - | 20  | 10  | 1.3  | 5.0  | 0.7845  | -
ScalObject-bkq.04.log   | Bound(2)  | √ | 20  | 10  | 1.3  | 2.4  | 0.24    | -
ScalObject-bkq.04.log   | Bound(0)  | - | 20  | 10  | 1.3  | 5.0  | 1.2388  | -
ScalObject-bkq.04.log   | Bound(0)  | √ | 20  | 10  | 1.3  | 2.4  | 0.2974  | -
ScalObject-bkq.04.log   | Symbolic  | - | 20  | 10  | 1.3  | 5.0  | 0.2869  | -
ScalObject-bkq.04.log   | Symbolic  | √ | 20  | 10  | 1.3  | 2.4  | 0.0707  | -
ScalObject-bkq.04.log   | Saturate  | - | 20  | 10  | 1.3  | 5.0  | 0.0056  | -
ScalObject-bkq.04.log   | Saturate  | √ | 20  | 10  | 1.3  | 2.4  | 0.0047  | -
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.05.log   | Enumerate | - | 15  | 7   | 1.4  | 3.9  | 0.3729  | √
ScalObject-bkq.05.log   | Bound(4)  | - | 15  | 7   | 1.4  | 3.9  | 0.2113  | √
ScalObject-bkq.05.log   | Bound(4)  | √ | 15  | 7   | 1.4  | 2.3  | 0.1484  | √
ScalObject-bkq.05.log   | Bound(2)  | - | 20  | 10  | 1.5  | 4.9  | 0.8656  | -
ScalObject-bkq.05.log   | Bound(2)  | √ | 20  | 10  | 1.5  | 3.1  | 0.4319  | -
ScalObject-bkq.05.log   | Bound(0)  | - | 20  | 10  | 1.5  | 4.9  | 1.4181  | -
ScalObject-bkq.05.log   | Bound(0)  | √ | 20  | 10  | 1.5  | 3.1  | 0.4874  | -
ScalObject-bkq.05.log   | Symbolic  | - | 15  | 7   | 1.4  | 3.9  | 0.0948  | √
ScalObject-bkq.05.log   | Symbolic  | √ | 15  | 7   | 1.4  | 2.3  | 0.0418  | √
ScalObject-bkq.05.log   | Saturate  | - | 15  | 7   | 1.4  | 3.9  | 0.0045  | √
ScalObject-bkq.05.log   | Saturate  | √ | 15  | 7   | 1.4  | 2.3  | 0.0042  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.06.log   | Enumerate | - | 18  | 9   | 1.0  | 3.7  | 0.29    | √
ScalObject-bkq.06.log   | Bound(4)  | - | 18  | 9   | 1.0  | 3.7  | 0.3593  | √
ScalObject-bkq.06.log   | Bound(4)  | √ | 18  | 9   | 1.0  | 0.9  | 0.1412  | √
ScalObject-bkq.06.log   | Bound(2)  | - | 18  | 9   | 1.0  | 3.7  | 0.5141  | √
ScalObject-bkq.06.log   | Bound(2)  | √ | 18  | 9   | 1.0  | 0.9  | 0.1446  | √
ScalObject-bkq.06.log   | Bound(0)  | - | 20  | 10  | 1.0  | 4.1  | 1.0685  | -
ScalObject-bkq.06.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 1.0  | 0.1968  | -
ScalObject-bkq.06.log   | Symbolic  | - | 18  | 9   | 1.0  | 3.7  | 0.1348  | √
ScalObject-bkq.06.log   | Symbolic  | √ | 18  | 9   | 1.0  | 0.9  | 0.0276  | √
ScalObject-bkq.06.log   | Saturate  | - | 18  | 9   | 1.0  | 3.7  | 0.0039  | √
ScalObject-bkq.06.log   | Saturate  | √ | 18  | 9   | 1.0  | 0.9  | 0.0041  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.07.log   | Enumerate | - | 18  | 8   | 1.8  | 4.8  | 9.1603  | √
ScalObject-bkq.07.log   | Bound(4)  | - | 18  | 8   | 1.8  | 4.8  | 0.3731  | √
ScalObject-bkq.07.log   | Bound(4)  | √ | 18  | 8   | 1.8  | 4.1  | 0.2474  | √
ScalObject-bkq.07.log   | Bound(2)  | - | 20  | 10  | 1.8  | 5.1  | 1.1349  | -
ScalObject-bkq.07.log   | Bound(2)  | √ | 20  | 10  | 1.8  | 4.3  | 0.788   | -
ScalObject-bkq.07.log   | Bound(0)  | - | 20  | 10  | 1.8  | 5.1  | 1.4193  | -
ScalObject-bkq.07.log   | Bound(0)  | √ | 20  | 10  | 1.8  | 4.3  | 0.9215  | -
ScalObject-bkq.07.log   | Symbolic  | - | 18  | 8   | 1.8  | 4.8  | 0.2129  | √
ScalObject-bkq.07.log   | Symbolic  | √ | 18  | 8   | 1.8  | 4.1  | 0.1217  | √
ScalObject-bkq.07.log   | Saturate  | - | 19  | 9   | 1.8  | 5.0  | 0.0061  | √
ScalObject-bkq.07.log   | Saturate  | √ | 19  | 9   | 1.8  | 4.2  | 0.0056  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
