# data/reports/report-Feb-12-2015-17h03.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.00.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.3829s    | -
ScalObject-bkq.00.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.6193s    | -
ScalObject-bkq.00.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.167s     | -
ScalObject-bkq.00.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.8662s    | -
ScalObject-bkq.00.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.1805s    | -
ScalObject-bkq.00.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.1217s    | -
ScalObject-bkq.00.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.1942s    | -
ScalObject-bkq.00.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1852s    | -
ScalObject-bkq.00.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0376s    | -
ScalObject-bkq.00.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0049s    | -
ScalObject-bkq.00.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0041s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.01.log   | Enumerate+C   | 18*   | 2.7 ± 1.1   | 10.0028s*  | -
ScalObject-bkq.01.log   | Counting(4)   | 20    | 2.5 ± 1.1   | 1.0591s    | -
ScalObject-bkq.01.log   | Counting(4)+R | 20    | 2.5 ± 1.1   | 0.6669s    | -
ScalObject-bkq.01.log   | Counting(2)   | 20    | 2.5 ± 1.1   | 1.2317s    | -
ScalObject-bkq.01.log   | Counting(2)+R | 20    | 2.5 ± 1.1   | 0.7557s    | -
ScalObject-bkq.01.log   | Counting(0)   | 20    | 2.5 ± 1.1   | 1.4377s    | -
ScalObject-bkq.01.log   | Counting(0)+R | 20    | 2.5 ± 1.1   | 1.0225s    | -
ScalObject-bkq.01.log   | Symbolic      | 20    | 2.5 ± 1.1   | 0.6383s    | -
ScalObject-bkq.01.log   | Symbolic+R    | 20    | 2.5 ± 1.1   | 0.4393s    | -
ScalObject-bkq.01.log   | Saturate      | 20    | 2.5 ± 1.1   | 0.0048s    | -
ScalObject-bkq.01.log   | Saturate+R    | 20    | 2.5 ± 1.1   | 0.0051s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.02.log   | Enumerate+C   | 20    | 1.6 ± 0.7   | 0.7994s    | -
ScalObject-bkq.02.log   | Counting(4)   | 20    | 1.6 ± 0.7   | 0.7947s    | -
ScalObject-bkq.02.log   | Counting(4)+R | 20    | 1.6 ± 0.7   | 0.3297s    | -
ScalObject-bkq.02.log   | Counting(2)   | 20    | 1.6 ± 0.7   | 1.0838s    | -
ScalObject-bkq.02.log   | Counting(2)+R | 20    | 1.6 ± 0.7   | 0.3351s    | -
ScalObject-bkq.02.log   | Counting(0)   | 20    | 1.6 ± 0.7   | 1.4104s    | -
