history	object	algorithm	steps	time	violation
ScalObject-bkq.00.log	atomic-queue	Enumerate+C	20	0.32s	true
ScalObject-bkq.00.log	atomic-queue	Counting(4)	20	0.4516s	true
ScalObject-bkq.00.log	atomic-queue	Counting(4)+R	20	0.1893s	true
ScalObject-bkq.00.log	atomic-queue	Counting(2)	20	0.6068s	true
ScalObject-bkq.00.log	atomic-queue	Counting(2)+R	20	0.1792s	true
ScalObject-bkq.00.log	atomic-queue	Counting(0)	20	1.1241s	false
ScalObject-bkq.00.log	atomic-queue	Counting(0)+R	20	0.2061s	false
ScalObject-bkq.00.log	atomic-queue	Symbolic	20	0.1479s	true
ScalObject-bkq.00.log	atomic-queue	Symbolic+R	20	0.0244s	true
ScalObject-bkq.00.log	atomic-queue	Saturate	20	0.0072s	true
ScalObject-bkq.00.log	atomic-queue	Saturate+R	20	0.0081s	true
ScalObject-bkq.01.log	atomic-queue	Enumerate+C	20	0.3133s	true
ScalObject-bkq.01.log	atomic-queue	Counting(4)	20	0.5474s	false
ScalObject-bkq.01.log	atomic-queue	Counting(4)+R	20	0.2959s	false
ScalObject-bkq.01.log	atomic-queue	Counting(2)	20	0.7364s	false
ScalObject-bkq.01.log	atomic-queue	Counting(2)+R	20	0.3395s	false
ScalObject-bkq.01.log	atomic-queue	Counting(0)	20	0.8585s	false
ScalObject-bkq.01.log	atomic-queue	Counting(0)+R	20	0.3901s	false
ScalObject-bkq.01.log	atomic-queue	Symbolic	20	0.145s	true
ScalObject-bkq.01.log	atomic-queue	Symbolic+R	20	0.0763s	true
ScalObject-bkq.01.log	atomic-queue	Saturate	20	0.011s	true
ScalObject-bkq.01.log	atomic-queue	Saturate+R	20	0.0117s	true
ScalObject-bkq.02.log	atomic-queue	Enumerate+C	20	0.3796s	false
ScalObject-bkq.02.log	atomic-queue	Counting(4)	20	0.6517s	false
ScalObject-bkq.02.log	atomic-queue	Counting(4)+R	20	0.1913s	false
ScalObject-bkq.02.log	atomic-queue	Counting(2)	20	0.843s	false
ScalObject-bkq.02.log	atomic-queue	Counting(2)+R	20	0.1769s	false
ScalObject-bkq.02.log	atomic-queue	Counting(0)	20	1.1445s	false
ScalObject-bkq.02.log	atomic-queue	Counting(0)+R	20	0.1892s	false
ScalObject-bkq.02.log	atomic-queue	Symbolic	20	0.1979s	false
ScalObject-bkq.02.log	atomic-queue	Symbolic+R	20	0.0271s	false
ScalObject-bkq.02.log	atomic-queue	Saturate	20	0.0074s	false
ScalObject-bkq.02.log	atomic-queue	Saturate+R	20	0.0073s	false
ScalObject-bkq.03.log	atomic-queue	Enumerate+C	20	0.3553s	false
ScalObject-bkq.03.log	atomic-queue	Counting(4)	20	0.5872s	false
ScalObject-bkq.03.log	atomic-queue	Counting(4)+R	20	0.1772s	false
ScalObject-bkq.03.log	atomic-queue	Counting(2)	20	0.6805s	false
ScalObject-bkq.03.log	atomic-queue	Counting(2)+R	20	0.1783s	false
ScalObject-bkq.03.log	atomic-queue	Counting(0)	20	0.8902s	false
ScalObject-bkq.03.log	atomic-queue	Counting(0)+R	20	0.1864s	false
ScalObject-bkq.03.log	atomic-queue	Symbolic	20	0.161s	false
ScalObject-bkq.03.log	atomic-queue	Symbolic+R	20	0.0184s	false
ScalObject-bkq.03.log	atomic-queue	Saturate	20	0.004s	false
ScalObject-bkq.03.log	atomic-queue	Saturate+R	20	0.0041s	false
ScalObject-bkq.04.log	atomic-queue	Enumerate+C	20	0.3424s	false
ScalObject-bkq.04.log	atomic-queue	Counting(4)	20	0.5883s	false
ScalObject-bkq.04.log	atomic-queue	Counting(4)+R	20	0.1946s	false
ScalObject-bkq.04.log	atomic-queue	Counting(2)	20	0.7577s	false
ScalObject-bkq.04.log	atomic-queue	Counting(2)+R	20	0.1814s	false
ScalObject-bkq.04.log	atomic-queue	Counting(0)	20	1.3091s	false
ScalObject-bkq.04.log	atomic-queue	Counting(0)+R	20	0.2129s	false
ScalObject-bkq.04.log	atomic-queue	Symbolic	20	0.1754s	false
ScalObject-bkq.04.log	atomic-queue	Symbolic+R	20	0.0253s	false
ScalObject-bkq.04.log	atomic-queue	Saturate	20	0.0104s	false
ScalObject-bkq.04.log	atomic-queue	Saturate+R	20	0.0068s	false
ScalObject-bkq.05.log	atomic-queue	Enumerate+C	20	0.3715s	false
ScalObject-bkq.05.log	atomic-queue	Counting(4)	20	0.7725s	false
ScalObject-bkq.05.log	atomic-queue	Counting(4)+R	20	0.1805s	false
ScalObject-bkq.05.log	atomic-queue	Counting(2)	20	0.929s	false
ScalObject-bkq.05.log	atomic-queue	Counting(2)+R	20	0.1776s	false
ScalObject-bkq.05.log	atomic-queue	Counting(0)	20	1.5343s	false
ScalObject-bkq.05.log	atomic-queue	Counting(0)+R	20	0.1843s	false
ScalObject-bkq.05.log	atomic-queue	Symbolic	20	0.1954s	false
ScalObject-bkq.05.log	atomic-queue	Symbolic+R	20	0.0233s	false
ScalObject-bkq.05.log	atomic-queue	Saturate	20	0.0045s	false
ScalObject-bkq.05.log	atomic-queue	Saturate+R	20	0.0044s	false
ScalObject-bkq.06.log	atomic-queue	Enumerate+C	12	0.1295s	true
ScalObject-bkq.06.log	atomic-queue	Counting(4)	12	0.1345s	true
ScalObject-bkq.06.log	atomic-queue	Counting(4)+R	12	0.1431s	true
ScalObject-bkq.06.log	atomic-queue	Counting(2)	12	0.1409s	true
ScalObject-bkq.06.log	atomic-queue	Counting(2)+R	12	0.141s	true
ScalObject-bkq.06.log	atomic-queue	Counting(0)	20	1.1293s	false
ScalObject-bkq.06.log	atomic-queue	Counting(0)+R	20	0.4774s	false
ScalObject-bkq.06.log	atomic-queue	Symbolic	12	0.0383s	true
ScalObject-bkq.06.log	atomic-queue	Symbolic+R	12	0.0375s	true
ScalObject-bkq.06.log	atomic-queue	Saturate	12	0.0099s	true
ScalObject-bkq.06.log	atomic-queue	Saturate+R	12	0.0104s	true
ScalObject-bkq.07.log	atomic-queue	Enumerate+C	8	0.0933s	true
ScalObject-bkq.07.log	atomic-queue	Counting(4)	8	0.0821s	true
ScalObject-bkq.07.log	atomic-queue	Counting(4)+R	8	0.0795s	true
ScalObject-bkq.07.log	atomic-queue	Counting(2)	8	0.0797s	true
ScalObject-bkq.07.log	atomic-queue	Counting(2)+R	8	0.0771s	true
ScalObject-bkq.07.log	atomic-queue	Counting(0)	20	1.35s	false
ScalObject-bkq.07.log	atomic-queue	Counting(0)+R	20	0.2352s	false
ScalObject-bkq.07.log	atomic-queue	Symbolic	8	0.0162s	true
ScalObject-bkq.07.log	atomic-queue	Symbolic+R	8	0.012s	true
ScalObject-bkq.07.log	atomic-queue	Saturate	8	0.003s	true
ScalObject-bkq.07.log	atomic-queue	Saturate+R	8	0.0041s	true
ScalObject-bkq.08.log	atomic-queue	Enumerate+C	20	0.2984s	false
ScalObject-bkq.08.log	atomic-queue	Counting(4)	20	0.482s	false
ScalObject-bkq.08.log	atomic-queue	Counting(4)+R	20	0.1741s	false
ScalObject-bkq.08.log	atomic-queue	Counting(2)	20	0.5408s	false
ScalObject-bkq.08.log	atomic-queue	Counting(2)+R	20	0.1735s	false
ScalObject-bkq.08.log	atomic-queue	Counting(0)	20	0.6346s	false
ScalObject-bkq.08.log	atomic-queue	Counting(0)+R	20	0.1735s	false
ScalObject-bkq.08.log	atomic-queue	Symbolic	20	0.138s	false
ScalObject-bkq.08.log	atomic-queue	Symbolic+R	20	0.0191s	false
ScalObject-bkq.08.log	atomic-queue	Saturate	20	0.0038s	false
ScalObject-bkq.08.log	atomic-queue	Saturate+R	20	0.0042s	false
ScalObject-bkq.09.log	atomic-queue	Enumerate+C	20	0.3544s	false
ScalObject-bkq.09.log	atomic-queue	Counting(4)	20	0.6996s	false
ScalObject-bkq.09.log	atomic-queue	Counting(4)+R	20	0.1942s	false
ScalObject-bkq.09.log	atomic-queue	Counting(2)	20	0.826s	false
ScalObject-bkq.09.log	atomic-queue	Counting(2)+R	20	0.1994s	false
ScalObject-bkq.09.log	atomic-queue	Counting(0)	20	1.1448s	false
ScalObject-bkq.09.log	atomic-queue	Counting(0)+R	20	0.2151s	false
ScalObject-bkq.09.log	atomic-queue	Symbolic	20	0.1753s	false
ScalObject-bkq.09.log	atomic-queue	Symbolic+R	20	0.035s	false
ScalObject-bkq.09.log	atomic-queue	Saturate	20	0.0089s	false
ScalObject-bkq.09.log	atomic-queue	Saturate+R	20	0.0092s	false
ScalObject-bkq.10.log	atomic-queue	Enumerate+C	20	0.3566s	false
ScalObject-bkq.10.log	atomic-queue	Counting(4)	20	0.6949s	false
ScalObject-bkq.10.log	atomic-queue	Counting(4)+R	20	0.1865s	false
ScalObject-bkq.10.log	atomic-queue	Counting(2)	20	0.7874s	false
ScalObject-bkq.10.log	atomic-queue	Counting(2)+R	20	0.1947s	false
ScalObject-bkq.10.log	atomic-queue	Counting(0)	20	1.1969s	false
ScalObject-bkq.10.log	atomic-queue	Counting(0)+R	20	0.1898s	false
ScalObject-bkq.10.log	atomic-queue	Symbolic	20	0.1833s	false
ScalObject-bkq.10.log	atomic-queue	Symbolic+R	20	0.0285s	false
ScalObject-bkq.10.log	atomic-queue	Saturate	20	0.0076s	false
ScalObject-bkq.10.log	atomic-queue	Saturate+R	20	0.0084s	false
ScalObject-bkq.11.log	atomic-queue	Enumerate+C	12	0.1414s	true
ScalObject-bkq.11.log	atomic-queue	Counting(4)	12	0.1368s	true
ScalObject-bkq.11.log	atomic-queue	Counting(4)+R	12	0.1202s	true
ScalObject-bkq.11.log	atomic-queue	Counting(2)	20	1.0932s	false
ScalObject-bkq.11.log	atomic-queue	Counting(2)+R	20	0.1985s	false
ScalObject-bkq.11.log	atomic-queue	Counting(0)	20	1.469s	false
ScalObject-bkq.11.log	atomic-queue	Counting(0)+R	20	0.2153s	false
ScalObject-bkq.11.log	atomic-queue	Symbolic	12	0.038s	true
ScalObject-bkq.11.log	atomic-queue	Symbolic+R	12	0.024s	true
ScalObject-bkq.11.log	atomic-queue	Saturate	12	0.0052s	true
ScalObject-bkq.11.log	atomic-queue	Saturate+R	12	0.0081s	true
ScalObject-bkq.12.log	atomic-queue	Enumerate+C	20	0.34s	false
ScalObject-bkq.12.log	atomic-queue	Counting(4)	20	0.5854s	false
ScalObject-bkq.12.log	atomic-queue	Counting(4)+R	20	0.1754s	false
ScalObject-bkq.12.log	atomic-queue	Counting(2)	20	0.6873s	false
ScalObject-bkq.12.log	atomic-queue	Counting(2)+R	20	0.1784s	false
ScalObject-bkq.12.log	atomic-queue	Counting(0)	20	0.8902s	false
ScalObject-bkq.12.log	atomic-queue	Counting(0)+R	20	0.1817s	false
ScalObject-bkq.12.log	atomic-queue	Symbolic	20	0.1604s	false
ScalObject-bkq.12.log	atomic-queue	Symbolic+R	20	0.0202s	false
ScalObject-bkq.12.log	atomic-queue	Saturate	20	0.0037s	false
ScalObject-bkq.12.log	atomic-queue	Saturate+R	20	0.0045s	false
ScalObject-bkq.13.log	atomic-queue	Enumerate+C	16	0.2079s	true
ScalObject-bkq.13.log	atomic-queue	Counting(4)	16	0.2358s	true
ScalObject-bkq.13.log	atomic-queue	Counting(4)+R	16	0.1411s	true
ScalObject-bkq.13.log	atomic-queue	Counting(2)	16	0.2713s	true
ScalObject-bkq.13.log	atomic-queue	Counting(2)+R	16	0.1427s	true
ScalObject-bkq.13.log	atomic-queue	Counting(0)	20	1.403s	false
ScalObject-bkq.13.log	atomic-queue	Counting(0)+R	20	0.1809s	false
ScalObject-bkq.13.log	atomic-queue	Symbolic	16	0.0783s	true
ScalObject-bkq.13.log	atomic-queue	Symbolic+R	16	0.0181s	true
ScalObject-bkq.13.log	atomic-queue	Saturate	16	0.0041s	true
ScalObject-bkq.13.log	atomic-queue	Saturate+R	16	0.0043s	true
ScalObject-bkq.14.log	atomic-queue	Enumerate+C	10	0.1102s	true
ScalObject-bkq.14.log	atomic-queue	Counting(4)	10	0.1109s	true
ScalObject-bkq.14.log	atomic-queue	Counting(4)+R	10	0.0959s	true
ScalObject-bkq.14.log	atomic-queue	Counting(2)	10	0.112s	true
ScalObject-bkq.14.log	atomic-queue	Counting(2)+R	10	0.0974s	true
ScalObject-bkq.14.log	atomic-queue	Counting(0)	20	1.4828s	false
ScalObject-bkq.14.log	atomic-queue	Counting(0)+R	20	0.2038s	false
ScalObject-bkq.14.log	atomic-queue	Symbolic	10	0.0224s	true
ScalObject-bkq.14.log	atomic-queue	Symbolic+R	10	0.0144s	true
ScalObject-bkq.14.log	atomic-queue	Saturate	10	0.0037s	true
ScalObject-bkq.14.log	atomic-queue	Saturate+R	10	0.0042s	true
ScalObject-bkq.15.log	atomic-queue	Enumerate+C	20	0.3625s	false
ScalObject-bkq.15.log	atomic-queue	Counting(4)	20	0.7506s	false
ScalObject-bkq.15.log	atomic-queue	Counting(4)+R	20	0.1782s	false
ScalObject-bkq.15.log	atomic-queue	Counting(2)	20	0.927s	false
ScalObject-bkq.15.log	atomic-queue	Counting(2)+R	20	0.1798s	false
ScalObject-bkq.15.log	atomic-queue	Counting(0)	20	1.3896s	false
ScalObject-bkq.15.log	atomic-queue	Counting(0)+R	20	0.1797s	false
ScalObject-bkq.15.log	atomic-queue	Symbolic	20	0.1932s	false
